iso3_a,iso3_b,year,war
PRK,AUS,1952,1
PRK,AUS,1953,1
AUS,PRK,1950,1
AUS,PRK,1951,1
AUS,PRK,1952,1
AUS,PRK,1953,1
PRK,NEW,1950,1
PRK,NEW,1951,1
PRK,NEW,1952,1
PRK,NEW,1953,1
NEW,PRK,1950,1
NEW,PRK,1951,1
NEW,PRK,1952,1
NEW,PRK,1953,1
USA,CHN,1956,0
CHN,USA,1956,0
ITA,GRC,1923,0
GRC,ITA,1923,0
UKG,GRC,1897,0
GRC,UKG,1897,0
UKG,TUR,1897,0
TUR,UKG,1897,0
FRN,GRC,1897,0
GRC,FRN,1897,0
FRN,TUR,1897,0
TUR,FRN,1897,0
GMY,GRC,1897,0
GRC,GMY,1897,0
GMY,TUR,1897,0
TUR,GMY,1897,0
AUH,GRC,1897,0
GRC,AUH,1897,0
AUH,TUR,1897,0
TUR,AUH,1897,0
ITA,GRC,1897,0
GRC,ITA,1897,0
ITA,TUR,1897,0
TUR,ITA,1897,0
GRC,RUS,1897,0
RUS,GRC,1897,0
RUS,TUR,1897,0
TUR,RUS,1897,0
UKG,RUS,1853,0
UKG,RUS,1854,1
UKG,RUS,1855,1
UKG,RUS,1856,1
RUS,UKG,1853,0
RUS,UKG,1854,1
RUS,UKG,1855,1
RUS,UKG,1856,1
FRN,RUS,1853,0
FRN,RUS,1854,1
FRN,RUS,1855,1
FRN,RUS,1856,1
RUS,FRN,1853,0
RUS,FRN,1854,1
RUS,FRN,1855,1
RUS,FRN,1856,1
AUH,RUS,1854,0
AUH,RUS,1855,0
AUH,RUS,1856,0
RUS,AUH,1854,0
RUS,AUH,1855,0
RUS,AUH,1856,0
ITA,RUS,1855,1
ITA,RUS,1856,1
RUS,ITA,1855,1
RUS,ITA,1856,1
RUS,TUR,1853,1
RUS,TUR,1854,1
RUS,TUR,1855,1
RUS,TUR,1856,1
TUR,RUS,1853,1
TUR,RUS,1854,1
TUR,RUS,1855,1
TUR,RUS,1856,1
USA,CUB,1962,0
CUB,USA,1962,0
USA,RUS,1962,0
RUS,USA,1962,0
RUS,TUR,1826,0
TUR,RUS,1826,0
AUH,ROU,1883,0
ROU,AUH,1883,0
GMY,ITA,1934,0
ITA,GMY,1934,0
ITA,YUG,1934,0
YUG,ITA,1934,0
USA,DOM,1900,0
DOM,USA,1900,0
DOM,FRN,1900,0
FRN,DOM,1900,0
USA,DOM,1914,0
USA,DOM,1915,0
USA,DOM,1916,0
DOM,USA,1914,0
DOM,USA,1915,0
DOM,USA,1916,0
UKG,GRC,1850,0
GRC,UKG,1850,0
UKG,FRN,1898,0
FRN,UKG,1898,0
AUH,PAP,1847,0
AUH,PAP,1848,0
PAP,AUH,1847,0
PAP,AUH,1848,0
FRN,MAR,1907,0
FRN,MAR,1908,0
MAR,FRN,1907,0
MAR,FRN,1908,0
SPN,MAR,1907,0
SPN,MAR,1908,0
MAR,SPN,1907,0
MAR,SPN,1908,0
FRN,BAV,1870,1
BAV,FRN,1870,1
FRN,GMY,1870,1
FRN,GMY,1871,1
GMY,FRN,1870,1
GMY,FRN,1871,1
FRN,BAD,1870,1
BAD,FRN,1870,1
FRN,WRT,1870,1
WRT,FRN,1870,1
FRN,SPN,1822,0
FRN,SPN,1823,1
SPN,FRN,1822,0
SPN,FRN,1823,1
SPN,GMY,1823,0
GMY,SPN,1823,0
SPN,AUH,1823,0
AUH,SPN,1823,0
SPN,RUS,1823,0
RUS,SPN,1823,0
RUS,TUR,1887,0
TUR,RUS,1887,0
FRN,GAB,1964,0
GAB,FRN,1964,0
HTI,GMY,1909,0
HTI,GMY,1910,0
GMY,HTI,1909,0
GMY,HTI,1910,0
UKG,GRC,1886,0
GRC,UKG,1886,0
GMY,GRC,1886,0
GRC,GMY,1886,0
AUH,GRC,1886,0
GRC,AUH,1886,0
ITA,GRC,1886,0
GRC,ITA,1886,0
GRC,RUS,1886,0
RUS,GRC,1886,0
USA,HTI,1914,0
USA,HTI,1915,0
HTI,USA,1914,0
HTI,USA,1915,0
RUS,CHN,1880,0
CHN,RUS,1880,0
FRN,JPN,1895,0
JPN,FRN,1895,0
GMY,JPN,1895,0
JPN,GMY,1895,0
RUS,JPN,1895,0
JPN,RUS,1895,0
ITA,ALB,1939,0
ALB,ITA,1939,0
AUH,ITA,1904,0
ITA,AUH,1904,0
UKG,ITA,1935,0
UKG,ITA,1936,0
ITA,UKG,1935,0
ITA,UKG,1936,0
ITA,ETH,1934,0
ITA,ETH,1935,1
ITA,ETH,1936,1
ETH,ITA,1934,0
ETH,ITA,1935,1
ETH,ITA,1936,1
FRN,ITA,1860,0
ITA,FRN,1860,0
ITA,PAP,1860,1
PAP,ITA,1860,1
FRN,ITA,1860,0
FRN,ITA,1861,0
ITA,FRN,1860,0
ITA,FRN,1861,0
ITA,SIC,1860,1
ITA,SIC,1861,1
SIC,ITA,1860,1
SIC,ITA,1861,1
ITA,TUR,1911,1
ITA,TUR,1912,1
TUR,ITA,1911,1
TUR,ITA,1912,1
FRN,GMY,1859,0
GMY,FRN,1859,0
FRN,AUH,1859,1
AUH,FRN,1859,1
GMY,ITA,1859,0
ITA,GMY,1859,0
AUH,ITA,1859,1
ITA,AUH,1859,1
UKG,RUS,1885,0
RUS,UKG,1885,0
USA,AUH,1853,0
AUH,USA,1853,0
UKG,IRQ,1961,0
UKG,IRQ,1962,0
IRQ,UKG,1961,0
IRQ,UKG,1962,0
TUN,IRQ,1961,0
TUN,IRQ,1962,0
IRQ,TUN,1961,0
IRQ,TUN,1962,0
SDN,IRQ,1961,0
SDN,IRQ,1962,0
IRQ,SDN,1961,0
IRQ,SDN,1962,0
IRN,IRQ,1961,0
IRQ,IRN,1961,0
IRQ,EGY,1961,0
IRQ,EGY,1962,0
EGY,IRQ,1961,0
EGY,IRQ,1962,0
IRQ,JOR,1961,0
IRQ,JOR,1962,0
JOR,IRQ,1961,0
JOR,IRQ,1962,0
IRQ,SAU,1961,0
IRQ,SAU,1962,0
SAU,IRQ,1961,0
SAU,IRQ,1962,0
IRQ,KWT,1961,0
IRQ,KWT,1962,0
KWT,IRQ,1961,0
KWT,IRQ,1962,0
ARG,UKG,1845,0
ARG,UKG,1846,0
UKG,ARG,1845,0
UKG,ARG,1846,0
ARG,FRN,1845,0
ARG,FRN,1846,0
FRN,ARG,1845,0
FRN,ARG,1846,0
USA,RUS,1958,0
RUS,USA,1958,0
USA,IRQ,1958,0
IRQ,USA,1958,0
USA,EGY,1958,0
EGY,USA,1958,0
UKG,RUS,1958,0
RUS,UKG,1958,0
UKG,IRQ,1958,0
IRQ,UKG,1958,0
UKG,EGY,1958,0
EGY,UKG,1958,0
AUH,TUR,1853,0
TUR,AUH,1853,0
RUS,TUR,1853,0
TUR,RUS,1853,0
UKG,GMY,1921,0
GMY,UKG,1921,0
BEL,GMY,1921,0
GMY,BEL,1921,0
FRN,GMY,1921,0
GMY,FRN,1921,0
GMY,ITA,1921,0
ITA,GMY,1921,0
UKG,TUR,1905,0
TUR,UKG,1905,0
FRN,TUR,1905,0
TUR,FRN,1905,0
AUH,TUR,1905,0
TUR,AUH,1905,0
ITA,TUR,1905,0
TUR,ITA,1905,0
RUS,TUR,1905,0
TUR,RUS,1905,0
CHN,JPN,1931,1
CHN,JPN,1932,1
CHN,JPN,1933,1
JPN,CHN,1931,1
JPN,CHN,1932,1
JPN,CHN,1933,1
RUS,KOR,1899,0
RUS,KOR,1900,0
KOR,RUS,1899,0
KOR,RUS,1900,0
RUS,JPN,1900,0
JPN,RUS,1900,0
UKG,LTU,1923,0
LTU,UKG,1923,0
FRN,LTU,1923,0
LTU,FRN,1923,0
ITA,LTU,1923,0
LTU,ITA,1923,0
GMY,LTU,1939,0
LTU,GMY,1939,0
MEX,UKG,1861,0
MEX,UKG,1862,0
UKG,MEX,1861,0
UKG,MEX,1862,0
MEX,FRN,1861,0
MEX,FRN,1862,1
MEX,FRN,1863,1
MEX,FRN,1864,1
MEX,FRN,1865,1
MEX,FRN,1866,1
MEX,FRN,1867,1
FRN,MEX,1861,0
FRN,MEX,1862,1
FRN,MEX,1863,1
FRN,MEX,1864,1
FRN,MEX,1865,1
FRN,MEX,1866,1
FRN,MEX,1867,1
MEX,SPN,1861,0
MEX,SPN,1862,0
SPN,MEX,1861,0
