iso3_i,iso3_j,contiguity,common_language,colonial_link,distance
AGO,BLZ,0,0,0,11578.899
AGO,BMU,0,0,0,9436.543
AGO,BOL,0,0,0,8830.234
AGO,BRA,0,1,0,6559.9663
AGO,BRB,0,0,0,8414.008
AGO,BRN,0,0,0,11386.53
AGO,BTN,0,0,0,9162.635
AGO,BWA,0,0,0,2223.578
AGO,CAF,0,0,0,1586.9785
AGO,CAN,0,0,0,10904.939
AGO,CCK,0,0,0,9114.437
AGO,CHE,0,0,0,6235.385
AGO,CHL,0,0,0,8914.097
AGO,CHN,0,0,0,11769.515
AGO,CIV,0,0,0,2480.138
AGO,CMR,0,0,0,1424.6877
AGO,COG,0,0,0,556.94666
AGO,COK,0,0,0,16605.094
AGO,COL,0,0,0,9911.524
AGO,COM,0,0,0,3301.0176
AGO,CPV,0,1,0,4839.974
AGO,CRI,0,0,0,10980.7
AGO,CUB,0,0,0,10977.253
AGO,CXR,0,0,0,10106.6045
AGO,CYM,0,0,0,10823.138
AGO,CYP,0,0,0,5332.035
AGO,CZE,0,0,0,6560.2383
AGO,DEU,0,0,0,6738.352
AGO,DJI,0,0,0,4015.1838
AGO,DMA,0,0,0,8654.339
AGO,DNK,0,0,0,7179.0645
AGO,DOM,0,0,0,9602.552
AGO,DZA,0,0,0,5194.2437
AGO,ECU,0,0,0,10205.398
AGO,EGY,0,0,0,4736.951
AGO,ERI,0,0,0,3901.954
AGO,ESH,0,0,0,4917.6313
AGO,ESP,0,0,0,5752.252
AGO,EST,0,0,0,7665.3174
AGO,ETH,0,0,0,3464.5671
AGO,FIN,0,0,0,7746.2354
AGO,FJI,0,0,0,16618.514
AGO,FLK,0,0,0,7947.249
AGO,FRA,0,0,0,6510.322
AGO,FRO,0,0,0,8073.6772
AGO,FSM,0,0,0,16170.586
AGO,GAB,0,0,0,1110.3707
AGO,GBR,0,0,0,6837.5938
AGO,GEO,0,0,0,6482.799
AGO,GHA,0,0,0,2192.3945
AGO,GIB,0,0,0,5370.596
AGO,GIN,0,0,0,3804.649
AGO,GLP,0,0,0,8708.249
AGO,GMB,0,0,0,4132.186
AGO,GNB,0,1,0,3941.2268
AGO,GNQ,0,0,0,1485.0157
AGO,GRC,0,0,0,5325.223
AGO,GRD,0,0,0,8613.741
AGO,GRL,0,0,0,9737.886
AGO,GTM,0,0,0,11735.94
AGO,GUF,0,0,0,7436.134
AGO,GUY,0,0,0,8109.8647
AGO,HKG,0,0,0,11504.128
AGO,HND,0,0,0,11377.576
AGO,HRV,0,0,0,6086.6978
AGO,HTI,0,0,0,9868.396
AGO,HUN,0,0,0,6296.004
AGO,IDN,0,0,0,10294.874
AGO,IND,0,0,0,8025.9683
AGO,IRL,0,0,0,7160.8096
AGO,IRN,0,0,0,6368.0176
AGO,IRQ,0,0,0,5736.821
AGO,ISL,0,0,0,8642.954
AGO,ISR,0,0,0,5096.148
AGO,ITA,0,0,0,5645.243
AGO,JAM,0,0,0,10324.341
AGO,JOR,0,0,0,5140.358
AGO,JPN,0,0,0,13861.75
AGO,KAZ,0,0,0,8643.737
AGO,KEN,0,0,0,2744.3113
AGO,KGZ,0,0,0,8454.77
AGO,KHM,0,0,0,10393.3125
AGO,KIR,0,0,0,17657.943
AGO,KNA,0,0,0,8842.232
AGO,KOR,0,0,0,12705.4
AGO,KWT,0,0,0,5649.5044
AGO,LAO,0,0,0,10254.811
AGO,LBN,0,0,0,5301.9927
AGO,LBR,0,0,0,3154.236
AGO,LBY,0,0,0,4626.358
AGO,LCA,0,0,0,8580.775
AGO,LKA,0,0,0,7594.32
AGO,LSO,0,0,0,2721.224
AGO,LTU,0,0,0,7158.9653
AGO,LUX,0,0,0,6540.273
AGO,LVA,0,0,0,7388.8354
AGO,MAC,0,1,0,11443.559
AGO,MAR,0,0,0,5221.762
AGO,MDA,0,0,0,6403.256
AGO,MDG,0,0,0,3857.4277
AGO,MDV,0,0,0,6836.069
AGO,MEX,0,0,0,12685.997
AGO,MHL,0,0,0,17596.715
AGO,MKD,0,0,0,5719.4673
AGO,MLI,0,0,0,3352.4292
AGO,MLT,0,0,0,4980.6025
AGO,MMR,0,0,0,9555.35
AGO,MNG,0,0,0,11014.058
AGO,MNP,0,0,0,14824.509
AGO,MOZ,0,1,0,2794.2769
AGO,MRT,0,0,0,4395.738
AGO,MSR,0,0,0,8775.924
AGO,MTQ,0,0,0,8605.6045
AGO,MUS,0,0,0,4915.3716
AGO,MWI,0,0,0,2314.2065
AGO,MYS,0,0,0,9900.254
AGO,NAM,1,0,0,1582.8754
AGO,NCL,0,0,0,15503.072
AGO,NER,0,0,0,2778.3762
AGO,NFK,0,0,0,15020.046
AGO,NGA,0,0,0,2017.8129
AGO,NIC,0,0,0,11252.123
AGO,NIU,0,0,0,16914.756
AGO,NLD,0,0,0,6856.132
AGO,NOR,0,0,0,7655.045
AGO,NPL,0,0,0,8745.843
AGO,NRU,0,0,0,16933.588
AGO,NZL,0,0,0,13836.311
AGO,OMN,0,0,0,6115.173
AGO,PAK,0,0,0,7889.0464
AGO,PAL,0,0,0,5027.387
AGO,PAN,0,0,0,10468.294
AGO,PCN,0,0,0,14553.535
AGO,PER,0,0,0,9843.897
AGO,PHL,0,0,0,12159.635
AGO,PLW,0,0,0,13562.459
AGO,PNG,0,0,0,14529.403
AGO,POL,0,0,0,6838.7124
AGO,PRI,0,0,0,9222.951
AGO,PRK,0,0,0,12578.152
AGO,PRT,0,1,1,5779.503
AGO,PRY,0,0,0,7684.1904
AGO,PYF,0,0,0,16543.498
AGO,QAT,0,0,0,5620.981
AGO,REU,0,0,0,4718.442
AGO,ROM,0,0,0,6066.5913
AGO,RUS,0,0,0,7535.8535
AGO,RWA,0,0,0,2014.3456
AGO,SAU,0,0,0,5207.3223
AGO,SDN,0,0,0,3447.4487
AGO,SEN,0,0,0,4277.9414
AGO,SGP,0,0,0,10104.831
AGO,SHN,0,0,0,2203.998
AGO,SLB,0,0,0,15818.789
AGO,SLE,0,0,0,3517.9338
AGO,SLV,0,0,0,11580.464
AGO,SMR,0,0,0,5875.2437
AGO,SOM,0,0,0,3760.6008
AGO,SPM,0,0,0,9206.762
AGO,STP,0,1,0,1239.1453
AGO,SUR,0,0,0,7771.882
AGO,SVK,0,0,0,6355.751
AGO,SVN,0,0,0,6111.5967
AGO,SWE,0,0,0,7599.2017
AGO,SWZ,0,0,0,2711.9233
AGO,SYC,0,0,0,4687.0083
AGO,SYR,0,0,0,5305.9688
AGO,TCA,0,0,0,9801.308
AGO,TCD,0,0,0,2345.1353
AGO,TGO,0,0,0,2128.4695
AGO,THA,0,0,0,9955.721
AGO,TJK,0,0,0,7803.1523
AGO,TKL,0,0,0,17965.463
AGO,TKM,0,0,0,7002.799
AGO,TMP,0,1,0,12285.98
AGO,TON,0,0,0,16570.234
AGO,TTO,0,0,0,8557.671
AGO,TUN,0,0,0,5092.534
AGO,TUR,0,0,0,5778.666
AGO,TUV,0,0,0,17554.264
AGO,TWN,0,0,0,12268.99
AGO,TZA,0,0,0,2880.0815
AGO,UGA,0,0,0,2373.8975
AGO,UKR,0,0,0,6802.643
AGO,URY,0,0,0,7581.0522
AGO,USA,0,0,0,10427.395
AGO,UZB,0,0,0,7977.3745
AGO,VCT,0,0,0,8587.411
AGO,VEN,0,0,0,9137.924
AGO,VGB,0,0,0,9066.944
AGO,VNM,0,0,0,10637.646
AGO,VUT,0,0,0,15999.398
AGO,WLF,0,0,0,17358.193
AGO,WSM,0,0,0,16571.795
AGO,YEM,0,0,0,4352.7417
AGO,YUG,0,0,0,6017.2935
AGO,ZAF,0,0,0,2844.2305
AGO,ZAR,1,0,0,553.10645
AGO,ZMB,1,0,0,1791.8215
AGO,ZWE,0,0,0,2170.012
AIA,ABW,0,0,0,983.26825
AIA,AFG,0,0,0,12292.158
AIA,AGO,0,0,0,8901.464
AIA,AIA,0,0,0,3.7986903
AIA,ALB,0,0,0,8108.476
AIA,AND,0,0,0,6589.5312
AIA,ANT,0,0,0,927.4568
AIA,ARE,0,0,0,11757.202
AIA,ARG,0,0,0,5905.6836
AIA,ARM,0,0,0,10127.366
AIA,ATG,0,1,0,177.88536
AIA,AUS,0,1,0,16217.811
