iso3,year,milex_const_usd,milex_current_usd,milex_gdp_share,gdp_const_usd,ln_milex_const_usd,ln_gdp_const_usd
CHN,2012,165824.084995686,145127.609596207,0.0170094267160117,9748952023150.121,25.834193334451573,29.908180910356283
CHN,2013,179306.661812187,164070.469321744,0.017143409229625,10459218432605.146,25.912363371424938,29.978504852137455
CHN,2014,193619.060925821,182109.20461908,0.0173840928794394,11137714361548.256,25.989158462137848,30.041358155368385
CHN,2015,208818.906099391,196538.82723079,0.0177677106896806,11752718723671.7,26.064733235308836,30.095105710492337
CHN,2016,220839.645541876,198538.361427554,0.017688865902507,12484669551968.107,26.12070268931603,30.155522571706335
CHN,2017,234421.626883032,210443.034740968,0.0171124264388853,13698912174742.543,26.18038715525248,30.248337542306555
CHN,2018,248153.160601193,232530.595985266,0.0167357820944542,14827700265255.273,26.23731197555478,30.327518186908012
CHN,2019,260242.521275228,240332.555458151,0.0168291101151296,15463831390660.781,26.284879807333972,30.36952495442935
CHN,2020,272509.054676964,257973.429833565,0.0175669947098837,15512559727910.805,26.33093767867001,30.372671116760372
CHN,2021,279605.778186208,285930.518056053,0.0160525971842503,17418102190998.594,26.356646512994562,30.488531137158496
CHN,2022,291958.428460211,291958.42846021,0.0162314627775085,17987191448004.914,26.39987726079242,30.52068103430512
CHN,2023,309484.316767175,296438.564342788,0.0166533914524613,18583861290394.066,26.458173254983194,30.553314647442523
CIV,1949,,,,,,
CIV,1950,,,,,,
CIV,1951,,,,,,
CIV,1952,,,,,,
CIV,1953,,,,,,
CIV,1954,,,,,,
CIV,1955,,,,,,
CIV,1956,,,,,,
CIV,1957,,,,,,
CIV,1958,,,,,,
CIV,1959,,,,,,
CIV,1960,,,,,,
CIV,1961,,,,,,
CIV,1962,70.48183202264,8.7668459761483,0.0127553444180523,5525670629.707885,18.070865532765158,22.43267045792676
CIV,1963,64.2320045548267,8.06477944297515,0.00998988877654196,6429701670.518584,17.978012157758766,22.584193977621702
CIV,1964,88.5841037892724,11.190603484514,0.0114392991239049,7743840145.254763,18.299462984007462,22.770163544307678
CIV,1965,99.5532199810105,12.9029098877422,0.0131969949916528,7543627927.719808,18.416202933315624,22.743969060769633
CIV,1966,98.5094224836168,13.2694014116038,0.0126356589147287,7796144478.764754,18.405662761299368,22.776895150842368
CIV,1967,106.908137043905,14.7113223116979,0.013126586869786,8144397176.845706,18.4874804913763,22.820596064824446
CIV,1968,106.244751395414,15.3050713953911,0.0116049004594181,9155162663.130795,18.48125596591725,22.93758378259727
CIV,1969,112.751843045171,16.1562695942853,0.0114879649890591,9814779480.312965,18.540699882512097,23.007155196802767
CIV,1970,121.569352911041,17.727738121511,0.0118100747167992,10293698882.202251,18.61599546374937,23.054797785971616
CIV,1971,164.476508677027,23.9689710774416,0.0150034098658786,10962608510.155184,18.91827831357721,23.117756092899505
CIV,1972,198.748429045356,31.7425048010539,0.0169563374311149,11721188602.949856,19.107550407293168,23.184664032586905
CIV,1973,143.109045720381,28.7138441107457,0.0113034263511127,12660678388.574934,18.77911745511013,23.2617668374223
CIV,1974,188.627354215315,41.1291830248645,0.0133964817320704,14080365127.789637,19.05528395590384,23.36804711971149
CIV,1975,168.128640673129,45.8861571626546,0.0117843019772319,14267170087.6272,18.940239962647283,23.381226936759422
CIV,1976,191.230033077251,52.4628583385646,0.0111888611210282,17091107933.930449,19.068987623010177,23.56182416134241
CIV,1977,151.321479365649,51.4490394008466,0.0079476861167002,19039689935.374065,18.834917134086606,23.669791581270207
CIV,1978,206.981525190994,86.764810153508,0.010980931015143,18849178171.282642,19.148140096961548,23.65973515154955
CIV,1979,198.579601320089,102.735025056177,0.0112377230421145,17670804003.25688,19.10670059191381,23.59517962327609
CIV,1980,198.296222146538,118.473116243847,0.0116428671100981,17031562781.864237,19.105272542106018,23.55833409381497
CIV,1981,182.033389703052,92.0027527223615,0.0109103604783102,16684452366.622938,19.019700688121237,23.537743126712563
CIV,1982,192.213935631256,86.4256891231444,0.011421677056103,16828871512.222399,19.074119557757868,23.546361790745497
CIV,1983,186.160366335693,76.2518828759323,0.0111504662496642,16695298848.27007,19.042119044810335,23.53839301064723
CIV,1984,188.353414417955,70.1647988245983,0.0102559041948217,18365364071.268955,19.05383061998662,23.633732340212614
CIV,1985,188.489531817084,69.5650431929627,0.00996969503636596,18906248499.030327,19.05455302918339,23.662758312787393
CIV,1986,183.869409411947,96.5591124612337,0.0105352867044739,17452720041.673405,19.029736332137848,23.58276134976106
CIV,1987,189.727105531085,122.780223400114,0.0121709875321591,15588472589.4077,19.061097310997837,23.469797541477273
CIV,1988,183.464393096512,128.102253498429,0.0124914061221149,14687249081.727072,19.027531163559328,23.410245544907553
CIV,1989,196.847909016849,129.676998695957,0.0133037465830519,14796426539.544907,19.097941953081953,23.41765153853198
CIV,1990,188.04231825965,143.973702091712,0.00964774732889641,19490800479.033672,19.052177592589466,23.693208420891523
CIV,1991,191.87351272769,144.168701946425,0.00994003862515562,19303095285.97894,19.072346925019357,23.683531297510015
